"Valor da produção","","","","","","","","","",""
"","Produtos","Algodão herbáceo (em caroço)","Arroz (em casca)","Café (em grão) Total","Feijão (em grão)","Laranja","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)"
"","","","","","","","","","",""
"Brasil","","31.331.337","22.317.432","69.205.977","12.172.130","28.499.994","18.125.466","88.118.085","260.233.510","8.770.270"
"","","","","","","","","","",""
"Fonte: ""IBGE - Produção Agrícola Municipal""","","","","","","","","","",""
