"Quantidade produzida","","","","","","","","","",""
"","Produtos","Algodão herbáceo (em caroço)","Arroz (em casca)","Café (em grão) Total","Feijão (em grão)","Laranja","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)"
"","","","","","","","","","",""
"Brasil","","8.523.606","10.671.490","3.387.724","3.018.459","15.688.409","19.066.096","114.953.303","144.473.768","7.520.178"
"","","","","","","","","","",""
"Fonte: ""IBGE - Produção Agrícola Municipal""","","","","","","","","","",""
