"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Município";"2013";;;;;"2014";;;;;"2015"
"Nível";"Cód.";"Município";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"MU";"1101401";"Monte Negro (RO)";"-";"-";"-";"300";"-";"-";"-";"-";"320";"-";"-";"-";"5";"230";"-"
"MU";"1101435";"Nova União (RO)";"-";"-";"3";"950";"-";"-";"-";"3";"800";"-";"-";"-";"10";"800";"-"
"MU";"1101450";"Parecis (RO)";"-";"-";"2";"1000";"-";"-";"-";"2";"600";"-";"-";"-";"10";"300";"-"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"-";"-";"50";"9060";"20000";"-";"-";"-";"9060";"22095";"-";"-";"-";"16002";"24000"
"MU";"1101476";"Primavera de Rondônia (RO)";"-";"-";"145";"148";"-";"-";"-";"145";"118";"-";"-";"-";"50";"118";"-"
"MU";"1101484";"São Felipe D'Oeste (RO)";"-";"-";"-";"3000";"300";"-";"-";"3";"2100";"300";"-";"-";"3";"1344";"300"
"MU";"1101492";"São Francisco do Guaporé (RO)";"-";"-";"5";"1000";"-";"-";"-";"5";"600";"-";"-";"-";"-";"500";"-"
"MU";"1101500";"Seringueiras (RO)";"-";"-";"-";"400";"1200";"-";"-";"-";"450";"1200";"-";"-";"-";"450";"3000"
"MU";"1101559";"Teixeirópolis (RO)";"-";"-";"-";"100";"-";"-";"-";"-";"130";"-";"-";"-";"-";"130";"-"
"MU";"1101609";"Theobroma (RO)";"-";"-";"2";"670";"-";"-";"-";"2";"670";"-";"-";"-";"-";"670";"-"
"MU";"1101708";"Urupá (RO)";"-";"-";"6";"1436";"-";"-";"-";"6";"863";"-";"-";"-";"4";"604";"-"
"MU";"1101757";"Vale do Anari (RO)";"-";"-";"10";"400";"-";"-";"-";"10";"400";"-";"-";"-";"15";"480";"-"
"MU";"1101807";"Vale do Paraíso (RO)";"-";"-";"-";"1500";"-";"-";"-";"-";"200";"-";"-";"-";"-";"50";"-"
"MU";"1200013";"Acrelândia (AC)";"-";"-";"27";"2565";"-";"-";"-";"24";"2485";"-";"-";"-";"14";"2190";"-"
"MU";"1200054";"Assis Brasil (AC)";"-";"-";"15";"600";"-";"-";"-";"20";"720";"-";"-";"-";"20";"800";"-"
"MU";"1200104";"Brasiléia (AC)";"-";"-";"20";"3300";"-";"-";"-";"14";"2455";"-";"-";"-";"14";"2455";"-"
"MU";"1200138";"Bujari (AC)";"-";"-";"75";"1830";"-";"-";"-";"75";"2196";"-";"-";"-";"80";"2396";"-"
"MU";"1200179";"Capixaba (AC)";"-";"-";"1898";"2920";"-";"-";"-";"2758";"2818";"-";"-";"-";"2903";"2240";"-"
"MU";"1200203";"Cruzeiro do Sul (AC)";"-";"-";"39";"2934";"-";"-";"-";"40";"1540";"-";"-";"-";"40";"1742";"-"
"MU";"1200252";"Epitaciolândia (AC)";"-";"-";"20";"2200";"-";"-";"-";"17";"2401";"-";"-";"-";"13";"2100";"-"
"MU";"1200302";"Feijó (AC)";"-";"-";"24";"3000";"-";"-";"-";"24";"2800";"-";"-";"-";"20";"3000";"-"
"MU";"1200328";"Jordão (AC)";"-";"-";"12";"520";"-";"-";"-";"16";"500";"-";"-";"-";"16";"500";"-"
"MU";"1200336";"Mâncio Lima (AC)";"-";"-";"80";"400";"-";"-";"-";"30";"450";"-";"-";"-";"30";"450";"-"
"MU";"1200344";"Manoel Urbano (AC)";"-";"-";"30";"800";"-";"-";"-";"20";"1002";"-";"-";"-";"18";"800";"-"
"MU";"1200351";"Marechal Thaumaturgo (AC)";"-";"-";"20";"1320";"-";"-";"-";"25";"600";"-";"-";"-";"30";"570";"-"
"MU";"1200385";"Plácido de Castro (AC)";"-";"-";"35";"2300";"-";"-";"-";"28";"2685";"-";"-";"-";"15";"2295";"-"
"MU";"1200393";"Porto Walter (AC)";"-";"-";"12";"520";"-";"-";"-";"12";"450";"-";"-";"-";"12";"390";"-"
"MU";"1200401";"Rio Branco (AC)";"-";"-";"65";"3800";"60";"-";"-";"60";"4600";"100";"-";"-";"60";"4110";"-"
"MU";"1200427";"Rodrigues Alves (AC)";"-";"-";"20";"800";"-";"-";"-";"15";"600";"-";"-";"-";"15";"600";"-"
"MU";"1200435";"Santa Rosa do Purus (AC)";"-";"-";"16";"202";"-";"-";"-";"18";"195";"-";"-";"-";"18";"210";"-"
"MU";"1200450";"Senador Guiomard (AC)";"-";"-";"165";"3705";"-";"-";"-";"85";"3895";"300";"-";"-";"87";"3470";"-"
"MU";"1200500";"Sena Madureira (AC)";"-";"-";"50";"4350";"-";"-";"-";"42";"4536";"-";"-";"-";"33";"3288";"-"
"MU";"1200609";"Tarauacá (AC)";"-";"-";"50";"2400";"-";"-";"-";"85";"2700";"-";"-";"-";"90";"3000";"-"
"MU";"1200708";"Xapuri (AC)";"-";"-";"20";"1700";"-";"-";"-";"20";"1820";"-";"-";"-";"18";"1950";"-"
"MU";"1200807";"Porto Acre (AC)";"-";"-";"25";"3320";"-";"-";"-";"30";"3645";"-";"-";"-";"27";"3320";"-"
"MU";"1300029";"Alvarães (AM)";"-";"-";"3";"12";"-";"-";"-";"3";"6";"-";"-";"-";"2";"5";"-"
"MU";"1300060";"Amaturá (AM)";"-";"-";"7";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"MU";"1300086";"Anamã (AM)";"-";"-";"-";"37";"-";"-";"-";"-";"69";"-";"-";"-";"-";"-";"-"
"MU";"1300102";"Anori (AM)";"-";"-";"-";"56";"-";"-";"-";"-";"200";"-";"-";"-";"-";"150";"-"
"MU";"1300144";"Apuí (AM)";"-";"-";"-";"1000";"-";"-";"-";"-";"900";"-";"-";"-";"-";"500";"-"
"MU";"1300201";"Atalaia do Norte (AM)";"-";"-";"30";"100";"-";"-";"-";"80";"-";"-";"-";"-";"80";"100";"-"
"MU";"1300300";"Autazes (AM)";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1300409";"Barcelos (AM)";"-";"-";"3";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"30";"-"
"MU";"1300508";"Barreirinha (AM)";"-";"-";"6";"90";"-";"-";"-";"5";"80";"-";"-";"-";"2";"20";"-"
"MU";"1300607";"Benjamin Constant (AM)";"-";"-";"16";"400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1300631";"Beruri (AM)";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1300680";"Boa Vista do Ramos (AM)";"-";"-";"-";"100";"-";"-";"-";"-";"60";"-";"-";"-";"-";"15";"-"
"MU";"1300706";"Boca do Acre (AM)";"-";"-";"38";"626";"-";"-";"-";"38";"626";"-";"-";"-";"42";"630";"-"
"MU";"1300805";"Borba (AM)";"-";"-";"-";"450";"-";"-";"-";"-";"225";"-";"-";"-";"-";"40";"-"
"MU";"1300839";"Caapiranga (AM)";"-";"-";"-";"22";"-";"-";"-";"-";"32";"-";"-";"-";"-";"15";"-"
"MU";"1300904";"Canutama (AM)";"-";"-";"3";"200";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1301001";"Carauari (AM)";"-";"-";"6";"80";"-";"-";"-";"7";"30";"-";"-";"-";"5";"30";"-"
"MU";"1301100";"Careiro (AM)";"-";"-";"-";"100";"-";"-";"-";"-";"160";"-";"-";"-";"-";"160";"-"
"MU";"1301159";"Careiro da Várzea (AM)";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1301209";"Coari (AM)";"-";"-";"3";"320";"-";"-";"-";"-";"150";"-";"-";"-";"-";"15";"-"
"MU";"1301308";"Codajás (AM)";"-";"-";"-";"175";"-";"-";"-";"15";"180";"-";"-";"-";"-";"30";"-"
"MU";"1301407";"Eirunepé (AM)";"-";"-";"41";"700";"-";"-";"-";"64";"140";"-";"-";"-";"87";"80";"-"
"MU";"1301506";"Envira (AM)";"-";"-";"25";"400";"-";"-";"-";"25";"300";"-";"-";"-";"20";"300";"-"
"MU";"1301605";"Fonte Boa (AM)";"-";"-";"7";"50";"-";"-";"-";"3";"50";"-";"-";"-";"3";"40";"-"
"MU";"1301654";"Guajará (AM)";"-";"-";"-";"400";"-";"-";"-";"-";"360";"-";"-";"-";"-";"379";"-"
"MU";"1301704";"Humaitá (AM)";"-";"-";"-";"350";"-";"-";"-";"30";"250";"-";"-";"-";"10";"120";"-"
"MU";"1301803";"Ipixuna (AM)";"-";"-";"36";"96";"-";"-";"-";"28";"84";"-";"-";"-";"22";"15";"-"
"MU";"1301852";"Iranduba (AM)";"-";"-";"-";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"MU";"1301902";"Itacoatiara (AM)";"-";"-";"4";"527";"-";"-";"-";"-";"-";"-";"-";"-";"-";"527";"-"
"MU";"1301951";"Itamarati (AM)";"-";"-";"4";"150";"-";"-";"-";"4";"50";"-";"-";"-";"3";"-";"-"
"MU";"1302009";"Itapiranga (AM)";"-";"-";"-";"5";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-"
"MU";"1302108";"Japurá (AM)";"-";"-";"5";"50";"-";"-";"-";"3";"10";"-";"-";"-";"3";"10";"-"
"MU";"1302207";"Juruá (AM)";"-";"-";"-";"60";"-";"-";"-";"-";"10";"-";"-";"-";"-";"3";"-"
"MU";"1302306";"Jutaí (AM)";"-";"-";"12";"250";"-";"-";"-";"12";"270";"-";"-";"-";"10";"250";"-"
"MU";"1302405";"Lábrea (AM)";"-";"-";"-";"600";"-";"-";"-";"-";"300";"-";"-";"-";"-";"112";"-"
"MU";"1302504";"Manacapuru (AM)";"-";"-";"10";"562";"-";"-";"-";"-";"500";"-";"-";"-";"-";"1147";"-"
"MU";"1302553";"Manaquiri (AM)";"-";"-";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"66";"-"
