cod_rgint,nome_rgint,ano,cultura,area_ha
5205,Porangatu - Uruaçu,2019,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2020,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2021,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2022,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2023,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2024,algodao_arboreo,0.0
5205,Porangatu - Uruaçu,2008,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2010,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2011,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2013,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2014,algodao_herbaceo,300.0
5205,Porangatu - Uruaçu,2016,algodao_herbaceo,300.0
5205,Porangatu - Uruaçu,2017,algodao_herbaceo,220.0
5205,Porangatu - Uruaçu,2019,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2020,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2022,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2023,algodao_herbaceo,0.0
5205,Porangatu - Uruaçu,2008,cana,87000.0
5205,Porangatu - Uruaçu,2010,cana,88658.0
5205,Porangatu - Uruaçu,2011,cana,116686.0
5205,Porangatu - Uruaçu,2013,cana,121805.0
5205,Porangatu - Uruaçu,2014,cana,124344.0
5205,Porangatu - Uruaçu,2016,cana,128121.0
5205,Porangatu - Uruaçu,2017,cana,124607.0
5205,Porangatu - Uruaçu,2019,cana,140407.0
5205,Porangatu - Uruaçu,2020,cana,143332.0
5205,Porangatu - Uruaçu,2022,cana,146086.0
5205,Porangatu - Uruaçu,2023,cana,181080.0
5205,Porangatu - Uruaçu,2008,milho,43050.0
5205,Porangatu - Uruaçu,2010,milho,37700.0
5205,Porangatu - Uruaçu,2011,milho,39912.0
5205,Porangatu - Uruaçu,2013,milho,35564.0
5205,Porangatu - Uruaçu,2014,milho,33670.0
5205,Porangatu - Uruaçu,2016,milho,38103.0
5205,Porangatu - Uruaçu,2017,milho,25900.0
5205,Porangatu - Uruaçu,2019,milho,29559.0
5205,Porangatu - Uruaçu,2020,milho,29319.0
5205,Porangatu - Uruaçu,2022,milho,47480.0
5205,Porangatu - Uruaçu,2023,milho,45764.0
5205,Porangatu - Uruaçu,2008,soja,63850.0
5205,Porangatu - Uruaçu,2010,soja,72130.0
5205,Porangatu - Uruaçu,2011,soja,85356.0
5205,Porangatu - Uruaçu,2013,soja,119420.0
5205,Porangatu - Uruaçu,2014,soja,135894.0
5205,Porangatu - Uruaçu,2016,soja,164639.0
5205,Porangatu - Uruaçu,2017,soja,168520.0
5205,Porangatu - Uruaçu,2019,soja,184242.0
5205,Porangatu - Uruaçu,2020,soja,196527.0
5205,Porangatu - Uruaçu,2022,soja,230523.0
5205,Porangatu - Uruaçu,2023,soja,256171.0
