zona_id,zona_nome,ano_inicio,ano_fim,par_anos,codigo_transicao,transicao,n_pixels,area_km2
1401,Boa Vista,2020,2021,2020_2021,315,floresta_para_pastagem,216189,194.5701
1401,Boa Vista,2020,2021,2020_2021,339,floresta_para_soja,69,0.0621
1401,Boa Vista,2020,2021,2020_2021,341,floresta_para_outras_temp,3954,3.5586
1401,Boa Vista,2020,2021,2020_2021,415,savana_para_pastagem,610,0.549
1401,Boa Vista,2020,2021,2020_2021,441,savana_para_outras_temp,47,0.0423
1401,Boa Vista,2020,2021,2020_2021,1539,pastagem_para_soja,37,0.0333
1401,Boa Vista,2020,2021,2020_2021,1541,pastagem_para_outras_temp,2198,1.9782
1401,Boa Vista,2020,2021,2020_2021,1525,pastagem_para_veg_sec,152,0.1368
1401,Boa Vista,2020,2021,2020_2021,325,floresta_para_veg_sec,1009,0.9081
1401,Boa Vista,2020,2021,2020_2021,303,floresta_estavel,74298315,66868.4835
1401,Boa Vista,2020,2021,2020_2021,1515,pastagem_estavel,4144379,3729.9411
1401,Boa Vista,2020,2021,2020_2021,3939,soja_estavel,360583,324.5247
1401,Boa Vista,2020,2021,2020_2021,404,savana_estavel,90861,81.7749
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,315,floresta_para_pastagem,7346,6.6114
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,341,floresta_para_outras_temp,474,0.4266
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,441,savana_para_outras_temp,16,0.0144
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,1539,pastagem_para_soja,1,0.0009
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,1541,pastagem_para_outras_temp,471,0.4239
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,1525,pastagem_para_veg_sec,536,0.4824
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,3925,soja_para_veg_sec,6,0.0054
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,325,floresta_para_veg_sec,417,0.3753
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,303,floresta_estavel,65223333,58700.9997
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,1515,pastagem_estavel,250615,225.5535
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,3939,soja_estavel,50459,45.4131
1602,Oiapoque - Porto Grande,2020,2021,2020_2021,404,savana_estavel,9769,8.7921
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,315,floresta_para_pastagem,322492,290.2428
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,341,floresta_para_outras_temp,5657,5.0913
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,415,savana_para_pastagem,1251,1.1259
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,441,savana_para_outras_temp,5,0.0045
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,1539,pastagem_para_soja,5,0.0045
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,1541,pastagem_para_outras_temp,3689,3.3201
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,1525,pastagem_para_veg_sec,1159,1.0431
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,325,floresta_para_veg_sec,614,0.5526
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,303,floresta_estavel,81166926,73050.2334
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,1515,pastagem_estavel,4493082,4043.7738
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,3939,soja_estavel,666,0.5994
1402,Rorainópolis - Caracaraí,2020,2021,2020_2021,404,savana_estavel,44704,40.2336
1505,Santarém,2020,2021,2020_2021,315,floresta_para_pastagem,2373689,2136.3201
1505,Santarém,2020,2021,2020_2021,339,floresta_para_soja,847,0.7623
1505,Santarém,2020,2021,2020_2021,341,floresta_para_outras_temp,17879,16.0911
1505,Santarém,2020,2021,2020_2021,415,savana_para_pastagem,4093,3.6837
1505,Santarém,2020,2021,2020_2021,439,savana_para_soja,11,0.0099
1505,Santarém,2020,2021,2020_2021,441,savana_para_outras_temp,575,0.5175
1505,Santarém,2020,2021,2020_2021,1539,pastagem_para_soja,4458,4.0122
1505,Santarém,2020,2021,2020_2021,1541,pastagem_para_outras_temp,47540,42.786
1505,Santarém,2020,2021,2020_2021,1525,pastagem_para_veg_sec,14502,13.0518
1505,Santarém,2020,2021,2020_2021,3925,soja_para_veg_sec,103,0.0927
1505,Santarém,2020,2021,2020_2021,325,floresta_para_veg_sec,19653,17.6877
1505,Santarém,2020,2021,2020_2021,303,floresta_estavel,409505818,368555.2362
1505,Santarém,2020,2021,2020_2021,1515,pastagem_estavel,28165642,25349.0778
1505,Santarém,2020,2021,2020_2021,3939,soja_estavel,601050,540.945
1505,Santarém,2020,2021,2020_2021,404,savana_estavel,4604261,4143.8349
1506,Altamira,2020,2021,2020_2021,315,floresta_para_pastagem,2189745,1970.7705
1506,Altamira,2020,2021,2020_2021,339,floresta_para_soja,8,0.0072
1506,Altamira,2020,2021,2020_2021,341,floresta_para_outras_temp,4698,4.2282
1506,Altamira,2020,2021,2020_2021,415,savana_para_pastagem,6815,6.1335
1506,Altamira,2020,2021,2020_2021,439,savana_para_soja,18,0.0162
1506,Altamira,2020,2021,2020_2021,441,savana_para_outras_temp,3037,2.7333
1506,Altamira,2020,2021,2020_2021,1539,pastagem_para_soja,761,0.6849
1506,Altamira,2020,2021,2020_2021,1541,pastagem_para_outras_temp,23247,20.9223
1506,Altamira,2020,2021,2020_2021,1525,pastagem_para_veg_sec,9356,8.4204
1506,Altamira,2020,2021,2020_2021,3925,soja_para_veg_sec,14,0.0126
1506,Altamira,2020,2021,2020_2021,325,floresta_para_veg_sec,2116,1.9044
1506,Altamira,2020,2021,2020_2021,303,floresta_estavel,288650871,259785.7839
1506,Altamira,2020,2021,2020_2021,1515,pastagem_estavel,24576112,22118.5008
1506,Altamira,2020,2021,2020_2021,3939,soja_estavel,41714,37.5426
1506,Altamira,2020,2021,2020_2021,404,savana_estavel,1934585,1741.1265
1601,Macapá,2020,2021,2020_2021,315,floresta_para_pastagem,3657,3.2913
1601,Macapá,2020,2021,2020_2021,341,floresta_para_outras_temp,19,0.0171
1601,Macapá,2020,2021,2020_2021,415,savana_para_pastagem,2,0.0018
1601,Macapá,2020,2021,2020_2021,1541,pastagem_para_outras_temp,5,0.0045
1601,Macapá,2020,2021,2020_2021,1525,pastagem_para_veg_sec,445,0.4005
1601,Macapá,2020,2021,2020_2021,325,floresta_para_veg_sec,49,0.0441
1601,Macapá,2020,2021,2020_2021,303,floresta_estavel,46189071,41570.1639
1601,Macapá,2020,2021,2020_2021,1515,pastagem_estavel,111210,100.089
1601,Macapá,2020,2021,2020_2021,3939,soja_estavel,51936,46.7424
1601,Macapá,2020,2021,2020_2021,404,savana_estavel,2211,1.9899
1301,Manaus,2020,2021,2020_2021,315,floresta_para_pastagem,208044,187.2396
1301,Manaus,2020,2021,2020_2021,341,floresta_para_outras_temp,713,0.6417
1301,Manaus,2020,2021,2020_2021,320,floresta_para_cana,103,0.0927
1301,Manaus,2020,2021,2020_2021,415,savana_para_pastagem,33,0.0297
1301,Manaus,2020,2021,2020_2021,1541,pastagem_para_outras_temp,1838,1.6542
1301,Manaus,2020,2021,2020_2021,1520,pastagem_para_cana,38,0.0342
1301,Manaus,2020,2021,2020_2021,1525,pastagem_para_veg_sec,14374,12.9366
1301,Manaus,2020,2021,2020_2021,325,floresta_para_veg_sec,4594,4.1346
1301,Manaus,2020,2021,2020_2021,303,floresta_estavel,471003221,423902.8989
1301,Manaus,2020,2021,2020_2021,1515,pastagem_estavel,2913863,2622.4767
1301,Manaus,2020,2021,2020_2021,404,savana_estavel,14568,13.1112
1507,Breves,2020,2021,2020_2021,315,floresta_para_pastagem,338065,304.2585
1507,Breves,2020,2021,2020_2021,341,floresta_para_outras_temp,5,0.0045
1507,Breves,2020,2021,2020_2021,1539,pastagem_para_soja,5,0.0045
1507,Breves,2020,2021,2020_2021,1541,pastagem_para_outras_temp,111,0.0999
1507,Breves,2020,2021,2020_2021,1525,pastagem_para_veg_sec,718,0.6462
1507,Breves,2020,2021,2020_2021,325,floresta_para_veg_sec,192,0.1728
1507,Breves,2020,2021,2020_2021,303,floresta_estavel,52987031,47688.3279
1507,Breves,2020,2021,2020_2021,1515,pastagem_estavel,1947489,1752.7401
1507,Breves,2020,2021,2020_2021,404,savana_estavel,54291,48.8619
1302,Tefé,2020,2021,2020_2021,315,floresta_para_pastagem,162747,146.4723
1302,Tefé,2020,2021,2020_2021,415,savana_para_pastagem,10,0.009
1302,Tefé,2020,2021,2020_2021,1525,pastagem_para_veg_sec,678,0.6102
1302,Tefé,2020,2021,2020_2021,325,floresta_para_veg_sec,1033,0.9297
1302,Tefé,2020,2021,2020_2021,303,floresta_estavel,395785551,356206.9959
1302,Tefé,2020,2021,2020_2021,1515,pastagem_estavel,1312049,1180.8441
1302,Tefé,2020,2021,2020_2021,404,savana_estavel,702,0.6318
1304,Parintins,2020,2021,2020_2021,315,floresta_para_pastagem,148747,133.8723
1304,Parintins,2020,2021,2020_2021,341,floresta_para_outras_temp,1981,1.7829
1304,Parintins,2020,2021,2020_2021,415,savana_para_pastagem,279,0.2511
1304,Parintins,2020,2021,2020_2021,1541,pastagem_para_outras_temp,2710,2.439
1304,Parintins,2020,2021,2020_2021,1525,pastagem_para_veg_sec,6789,6.1101
1304,Parintins,2020,2021,2020_2021,325,floresta_para_veg_sec,1609,1.4481
1304,Parintins,2020,2021,2020_2021,303,floresta_estavel,113835055,102451.5495
1304,Parintins,2020,2021,2020_2021,1515,pastagem_estavel,1847952,1663.1568
1304,Parintins,2020,2021,2020_2021,404,savana_estavel,14174,12.7566
1501,Belém,2020,2021,2020_2021,315,floresta_para_pastagem,460729,414.6561
1501,Belém,2020,2021,2020_2021,339,floresta_para_soja,88,0.0792
1501,Belém,2020,2021,2020_2021,341,floresta_para_outras_temp,4535,4.0815
1501,Belém,2020,2021,2020_2021,415,savana_para_pastagem,106,0.0954
1501,Belém,2020,2021,2020_2021,1539,pastagem_para_soja,329,0.2961
1501,Belém,2020,2021,2020_2021,1541,pastagem_para_outras_temp,15278,13.7502
1501,Belém,2020,2021,2020_2021,1525,pastagem_para_veg_sec,6654,5.9886
1501,Belém,2020,2021,2020_2021,3925,soja_para_veg_sec,32,0.0288
1501,Belém,2020,2021,2020_2021,325,floresta_para_veg_sec,1971,1.7739
1501,Belém,2020,2021,2020_2021,303,floresta_estavel,22449618,20204.6562
1501,Belém,2020,2021,2020_2021,1515,pastagem_estavel,8044426,7239.9834
1501,Belém,2020,2021,2020_2021,3939,soja_estavel,36424,32.7816
1501,Belém,2020,2021,2020_2021,404,savana_estavel,5349,4.8141
1502,Castanhal,2020,2021,2020_2021,315,floresta_para_pastagem,709932,638.9388
1502,Castanhal,2020,2021,2020_2021,339,floresta_para_soja,2534,2.2806
