zona_id,zona_nome,ano_inicio,ano_fim,par_anos,codigo_transicao,transicao,n_pixels,area_km2
1401,Boa Vista,2022,2023,2022_2023,315,floresta_para_pastagem,197561,177.8049
1401,Boa Vista,2022,2023,2022_2023,339,floresta_para_soja,41,0.0369
1401,Boa Vista,2022,2023,2022_2023,341,floresta_para_outras_temp,3113,2.8017
1401,Boa Vista,2022,2023,2022_2023,415,savana_para_pastagem,323,0.2907
1401,Boa Vista,2022,2023,2022_2023,439,savana_para_soja,4,0.0036
1401,Boa Vista,2022,2023,2022_2023,441,savana_para_outras_temp,18,0.0162
1401,Boa Vista,2022,2023,2022_2023,1539,pastagem_para_soja,172,0.1548
1401,Boa Vista,2022,2023,2022_2023,1541,pastagem_para_outras_temp,2930,2.637
1401,Boa Vista,2022,2023,2022_2023,1525,pastagem_para_veg_sec,438,0.3942
1401,Boa Vista,2022,2023,2022_2023,3925,soja_para_veg_sec,7,0.0063
1401,Boa Vista,2022,2023,2022_2023,325,floresta_para_veg_sec,2583,2.3247
1401,Boa Vista,2022,2023,2022_2023,303,floresta_estavel,74118309,66706.4781
1401,Boa Vista,2022,2023,2022_2023,1515,pastagem_estavel,4397301,3957.5709
1401,Boa Vista,2022,2023,2022_2023,3939,soja_estavel,833529,750.1761
1401,Boa Vista,2022,2023,2022_2023,404,savana_estavel,88786,79.9074
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,315,floresta_para_pastagem,17401,15.6609
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,339,floresta_para_soja,2,0.0018
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,341,floresta_para_outras_temp,191,0.1719
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,415,savana_para_pastagem,72,0.0648
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,1539,pastagem_para_soja,6,0.0054
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,1541,pastagem_para_outras_temp,19,0.0171
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,1525,pastagem_para_veg_sec,441,0.3969
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,325,floresta_para_veg_sec,916,0.8244
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,303,floresta_estavel,65170904,58653.8136
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,1515,pastagem_estavel,350724,315.6516
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,3939,soja_estavel,69331,62.3979
1602,Oiapoque - Porto Grande,2022,2023,2022_2023,404,savana_estavel,9425,8.4825
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,315,floresta_para_pastagem,306821,276.1389
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,339,floresta_para_soja,3,0.0027
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,341,floresta_para_outras_temp,1781,1.6029
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,415,savana_para_pastagem,9014,8.1126
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,1539,pastagem_para_soja,20,0.018
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,1541,pastagem_para_outras_temp,451,0.4059
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,1525,pastagem_para_veg_sec,1120,1.008
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,325,floresta_para_veg_sec,549,0.4941
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,303,floresta_estavel,80715331,72643.7979
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,1515,pastagem_estavel,5007355,4506.6195
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,3939,soja_estavel,7870,7.083
1402,Rorainópolis - Caracaraí,2022,2023,2022_2023,404,savana_estavel,39013,35.1117
1505,Santarém,2022,2023,2022_2023,315,floresta_para_pastagem,1263439,1137.0951
1505,Santarém,2022,2023,2022_2023,339,floresta_para_soja,433,0.3897
1505,Santarém,2022,2023,2022_2023,341,floresta_para_outras_temp,2027,1.8243
1505,Santarém,2022,2023,2022_2023,415,savana_para_pastagem,5638,5.0742
1505,Santarém,2022,2023,2022_2023,439,savana_para_soja,14,0.0126
1505,Santarém,2022,2023,2022_2023,441,savana_para_outras_temp,918,0.8262
1505,Santarém,2022,2023,2022_2023,1539,pastagem_para_soja,4001,3.6009
1505,Santarém,2022,2023,2022_2023,1541,pastagem_para_outras_temp,21313,19.1817
1505,Santarém,2022,2023,2022_2023,1525,pastagem_para_veg_sec,13367,12.0303
1505,Santarém,2022,2023,2022_2023,3925,soja_para_veg_sec,78,0.0702
1505,Santarém,2022,2023,2022_2023,325,floresta_para_veg_sec,8262,7.4358
1505,Santarém,2022,2023,2022_2023,303,floresta_estavel,406748805,366073.9245
1505,Santarém,2022,2023,2022_2023,1515,pastagem_estavel,32193037,28973.7333
1505,Santarém,2022,2023,2022_2023,3939,soja_estavel,1250973,1125.8757
1505,Santarém,2022,2023,2022_2023,404,savana_estavel,4603032,4142.7288
1506,Altamira,2022,2023,2022_2023,315,floresta_para_pastagem,1036186,932.5674
1506,Altamira,2022,2023,2022_2023,339,floresta_para_soja,19,0.0171
1506,Altamira,2022,2023,2022_2023,341,floresta_para_outras_temp,3085,2.7765
