zona_id,zona_nome,ano_inicio,ano_fim,par_anos,codigo_transicao,transicao,n_pixels,area_km2
1401,Boa Vista,2013,2014,2013_2014,315,floresta_para_pastagem,165951,149.3559
1401,Boa Vista,2013,2014,2013_2014,339,floresta_para_soja,4,0.0036
1401,Boa Vista,2013,2014,2013_2014,341,floresta_para_outras_temp,1424,1.2816
1401,Boa Vista,2013,2014,2013_2014,415,savana_para_pastagem,3094,2.7846
1401,Boa Vista,2013,2014,2013_2014,441,savana_para_outras_temp,10,0.009
1401,Boa Vista,2013,2014,2013_2014,1539,pastagem_para_soja,286,0.2574
1401,Boa Vista,2013,2014,2013_2014,1541,pastagem_para_outras_temp,14391,12.9519
1401,Boa Vista,2013,2014,2013_2014,1525,pastagem_para_veg_sec,340,0.306
1401,Boa Vista,2013,2014,2013_2014,325,floresta_para_veg_sec,26,0.0234
1401,Boa Vista,2013,2014,2013_2014,303,floresta_estavel,75055163,67549.6467
1401,Boa Vista,2013,2014,2013_2014,1515,pastagem_estavel,3622980,3260.682
1401,Boa Vista,2013,2014,2013_2014,3939,soja_estavel,64223,57.8007
1401,Boa Vista,2013,2014,2013_2014,404,savana_estavel,82786,74.5074
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,315,floresta_para_pastagem,9596,8.6364
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,341,floresta_para_outras_temp,530,0.477
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,415,savana_para_pastagem,113,0.1017
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,1539,pastagem_para_soja,18,0.0162
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,1541,pastagem_para_outras_temp,1383,1.2447
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,1525,pastagem_para_veg_sec,1141,1.0269
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,325,floresta_para_veg_sec,336,0.3024
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,303,floresta_estavel,65240126,58716.1134
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,1515,pastagem_estavel,297065,267.3585
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,3939,soja_estavel,5,0.0045
1602,Oiapoque - Porto Grande,2013,2014,2013_2014,404,savana_estavel,9456,8.5104
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,315,floresta_para_pastagem,214698,193.2282
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,339,floresta_para_soja,20,0.018
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,341,floresta_para_outras_temp,392,0.3528
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,415,savana_para_pastagem,962,0.8658
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,1539,pastagem_para_soja,34,0.0306
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,1541,pastagem_para_outras_temp,1064,0.9576
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,1525,pastagem_para_veg_sec,1500,1.35
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,325,floresta_para_veg_sec,574,0.5166
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,303,floresta_estavel,82594965,74335.4685
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,1515,pastagem_estavel,3232553,2909.2977
1402,Rorainópolis - Caracaraí,2013,2014,2013_2014,404,savana_estavel,38389,34.5501
1505,Santarém,2013,2014,2013_2014,315,floresta_para_pastagem,1107351,996.6159
1505,Santarém,2013,2014,2013_2014,339,floresta_para_soja,72,0.0648
1505,Santarém,2013,2014,2013_2014,341,floresta_para_outras_temp,11511,10.3599
1505,Santarém,2013,2014,2013_2014,415,savana_para_pastagem,1525,1.3725
1505,Santarém,2013,2014,2013_2014,441,savana_para_outras_temp,165,0.1485
1505,Santarém,2013,2014,2013_2014,1539,pastagem_para_soja,2044,1.8396
1505,Santarém,2013,2014,2013_2014,1541,pastagem_para_outras_temp,233143,209.8287
1505,Santarém,2013,2014,2013_2014,1525,pastagem_para_veg_sec,18721,16.8489
1505,Santarém,2013,2014,2013_2014,3925,soja_para_veg_sec,10,0.009
1505,Santarém,2013,2014,2013_2014,325,floresta_para_veg_sec,2951,2.6559
1505,Santarém,2013,2014,2013_2014,303,floresta_estavel,418328525,376495.6725
1505,Santarém,2013,2014,2013_2014,1515,pastagem_estavel,22185479,19966.9311
1505,Santarém,2013,2014,2013_2014,3939,soja_estavel,132704,119.4336
1505,Santarém,2013,2014,2013_2014,404,savana_estavel,4617380,4155.642
1506,Altamira,2013,2014,2013_2014,315,floresta_para_pastagem,654077,588.6693
1506,Altamira,2013,2014,2013_2014,339,floresta_para_soja,3,0.0027
1506,Altamira,2013,2014,2013_2014,341,floresta_para_outras_temp,3387,3.0483
1506,Altamira,2013,2014,2013_2014,415,savana_para_pastagem,3807,3.4263
1506,Altamira,2013,2014,2013_2014,439,savana_para_soja,44,0.0396
1506,Altamira,2013,2014,2013_2014,441,savana_para_outras_temp,1878,1.6902
1506,Altamira,2013,2014,2013_2014,1539,pastagem_para_soja,387,0.3483
1506,Altamira,2013,2014,2013_2014,1541,pastagem_para_outras_temp,35877,32.2893
1506,Altamira,2013,2014,2013_2014,1525,pastagem_para_veg_sec,15627,14.0643
1506,Altamira,2013,2014,2013_2014,325,floresta_para_veg_sec,2058,1.8522
1506,Altamira,2013,2014,2013_2014,303,floresta_estavel,296939169,267245.2521
1506,Altamira,2013,2014,2013_2014,1515,pastagem_estavel,17961926,16165.7334
1506,Altamira,2013,2014,2013_2014,404,savana_estavel,1973433,1776.0897
1601,Macapá,2013,2014,2013_2014,315,floresta_para_pastagem,3053,2.7477
1601,Macapá,2013,2014,2013_2014,1539,pastagem_para_soja,5,0.0045
1601,Macapá,2013,2014,2013_2014,1541,pastagem_para_outras_temp,96,0.0864
1601,Macapá,2013,2014,2013_2014,1525,pastagem_para_veg_sec,346,0.3114
1601,Macapá,2013,2014,2013_2014,325,floresta_para_veg_sec,53,0.0477
1601,Macapá,2013,2014,2013_2014,303,floresta_estavel,46230669,41607.6021
1601,Macapá,2013,2014,2013_2014,1515,pastagem_estavel,101168,91.0512
1601,Macapá,2013,2014,2013_2014,3939,soja_estavel,7843,7.0587
1601,Macapá,2013,2014,2013_2014,404,savana_estavel,2211,1.9899
1301,Manaus,2013,2014,2013_2014,315,floresta_para_pastagem,120740,108.666
1301,Manaus,2013,2014,2013_2014,341,floresta_para_outras_temp,20,0.018
1301,Manaus,2013,2014,2013_2014,320,floresta_para_cana,21,0.0189
1301,Manaus,2013,2014,2013_2014,415,savana_para_pastagem,1,0.0009
1301,Manaus,2013,2014,2013_2014,1541,pastagem_para_outras_temp,11,0.0099
1301,Manaus,2013,2014,2013_2014,1520,pastagem_para_cana,20,0.018
1301,Manaus,2013,2014,2013_2014,1525,pastagem_para_veg_sec,6983,6.2847
1301,Manaus,2013,2014,2013_2014,325,floresta_para_veg_sec,6732,6.0588
1301,Manaus,2013,2014,2013_2014,303,floresta_estavel,471757691,424581.9219
1301,Manaus,2013,2014,2013_2014,1515,pastagem_estavel,2240301,2016.2709
1301,Manaus,2013,2014,2013_2014,404,savana_estavel,14214,12.7926
1507,Breves,2013,2014,2013_2014,315,floresta_para_pastagem,77325,69.5925
1507,Breves,2013,2014,2013_2014,341,floresta_para_outras_temp,7,0.0063
1507,Breves,2013,2014,2013_2014,415,savana_para_pastagem,26,0.0234
